,Artist,Song,Capo,Memorized,Notes,Recording,Chords,Key
,"Eagles, The",Take It Easy,,,,,TAKE IT EASY CHORDS (ver 2) by Eagles @ Ultimate-Guitar.Com,
,Edie Brickell & New Bohemians,Circle,,,,,CIRCLE CHORDS by Edie Brickell & New Bohemians @ Ultimate-Guitar.Com,
,Elizabeth Fagan,Something about Coming Home?,,,,,,
,Elton John,Tiny Dancer,,,,,TINY DANCER CHORDS (ver 2) by Elton John @ Ultimate-Guitar.Com,
,Eric Clapton,Motherless Children,,,,,,
,Eve 6,Inside Out,c2,,I would swallow my pride; bump up from c0 iirc,,INSIDE OUT CHORDS (ver 3) by Eve 6 @ Ultimate-Guitar.Com,
,Everlast,What It's Like,,,Even the tabs part!,,https://tabs.ultimate-guitar.com/tab/everlast/what-its-like-chords-1683079,
,Fastball,Out Of My Head,,,,,OUT OF MY HEAD CHORDS by Fastball @ Ultimate-Guitar.Com,
,Fastball,The Way,,,,,THE WAY CHORDS (ver 2) by Fastball @ Ultimate-Guitar.Com,
,Fiona Apple,Extraordinary Machine,,,,,,
,Fiona Apple,Paper Bag,,,,:11 good but old strings,,
,Fleetwood Mac,Don't Stop,,,,pretty alright!,DONT STOP CHORDS (ver 2) by Fleetwood Mac @ Ultimate-Guitar.Com,
,Fleetwood Mac,Dreams,,,,snippet pofc,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/dreams-chords-43918,
,Fleetwood Mac,Landslide,,,try with a capo?,full,LANDSLIDE CHORDS by Fleetwood Mac @ Ultimate-Guitar.Com,
,Florence + The Machine,Big God,,,Uke,,https://tabs.ultimate-guitar.com/tab/florence-the-machine/big-god-chords-2407159,
,Florence + The Machine,Hunger,,,uke,,HUNGER CHORDS by Florence + The Machine @ Ultimate-Guitar.Com,
,Florence + The Machine ,No Choir,,,,,NO CHOIR CHORDS by Florence + The Machine @ Ultimate-Guitar.Com,
,Florence + The Machine,Sky Full of Song,,,,,SKY FULL OF SONG CHORDS by Florence + The Machine @ Ultimate-Guitar.Com,
,Fountains of Wayne,Stacy's Mom,,,,,STACYS MOM CHORDS by Fountains of Wayne @ Ultimate-Guitar.Com,
,Frazey Ford,Done,,,,,DONE CHORDS by Frazey Ford @ Ultimate-Guitar.Com,
,Frazey Ford,Firecracker,,,,,FIRECRACKER CHORDS by Frazey Ford @ Ultimate-Guitar.Com,
,Frazey Ford,September Fields,,,,,SEPTEMBER FIELDS CHORDS by Frazey Ford @ Ultimate-Guitar.Com,
